Time (s) 20 short 1,Angular Velocity (rad/s) 20 short 1,Time (s) 20 short 2,Angular Velocity (rad/s) 20 short 2,Time (s) 20 short 3,Angular Velocity (rad/s) 20 short 3,Time (s) 20 short 4,Angular Velocity (rad/s) 20 short 4,Time (s) 20 short 5,Angular Velocity (rad/s) 20 short 5
0.05,1.396,0.05,1.92,0.05,1.745,0.05,1.92,0.05,1.92
0.1,1.396,0.1,1.92,0.1,1.804,0.1,1.862,0.1,1.978
0.15,1.454,0.15,1.978,0.15,1.862,0.15,1.92,0.15,2.036
0.2,1.571,0.2,2.036,0.2,1.92,0.2,2.036,0.2,2.094
0.25,1.629,0.25,2.094,0.25,1.978,0.25,2.094,0.25,2.094
0.3,1.687,0.3,2.153,0.3,2.036,0.3,2.153,0.3,2.153
0.35,1.745,0.35,2.269,0.35,2.094,0.35,2.211,0.35,2.211
0.4,1.804,0.4,2.327,0.4,2.153,0.4,2.269,0.4,2.269
0.45,1.862,0.45,2.327,0.45,2.211,0.45,2.327,0.45,2.327
0.5,1.92,0.5,2.385,0.5,2.211,0.5,2.385,0.5,2.385
0.55,2.036,0.55,2.502,0.55,2.211,0.55,2.502,0.55,2.502
0.6,2.094,0.6,2.618,0.6,2.327,0.6,2.56,0.6,2.56
0.65,2.094,0.65,2.618,0.65,2.502,0.65,2.618,0.65,2.618
0.7,2.153,0.7,2.618,0.7,2.618,0.7,2.676,0.7,2.676
0.75,2.211,0.75,2.734,0.75,2.618,0.75,2.734,0.75,2.734
0.8,2.269,0.8,2.851,0.8,2.618,0.8,2.793,0.8,2.851
0.85,2.327,0.85,2.909,0.85,2.676,0.85,2.793,0.85,2.909
0.9,2.443,0.9,2.909,0.9,2.793,0.9,2.851,0.9,2.967
0.95,2.56,0.95,2.967,0.95,2.909,0.95,2.909,0.95,3.025
1,2.618,1,3.083,1,2.967,1,2.967,1,3.083
1.05,2.676,1.05,3.142,1.05,2.967,1.05,3.025,1.05,3.142
1.1,2.676,1.1,3.142,1.1,2.967,1.1,3.142,1.1,3.142
1.15,2.734,1.15,3.2,1.15,3.083,1.15,3.258,1.15,3.2
1.2,2.793,1.2,3.316,1.2,3.2,1.2,3.316,1.2,3.316
1.25,2.851,1.25,3.432,1.25,3.258,1.25,3.316,1.25,3.374
1.3,2.909,1.3,3.491,1.3,3.258,1.3,3.316,1.3,3.374
1.35,2.967,1.35,3.491,1.35,3.316,1.35,3.432,1.35,3.432
1.4,3.083,1.4,3.491,1.4,3.432,1.4,3.549,1.4,3.549
1.45,3.142,1.45,3.549,1.45,3.491,1.45,3.607,1.45,3.665
1.5,3.2,1.5,3.665,1.5,3.491,1.5,3.607,1.5,3.723
1.55,3.258,1.55,3.723,1.55,3.549,1.55,3.665,1.55,3.723
1.6,3.316,1.6,3.782,1.6,3.665,1.6,3.782,1.6,3.782
1.65,3.374,1.65,3.84,1.65,3.782,1.65,3.84,1.65,3.84
1.7,3.432,1.7,3.898,1.7,3.84,1.7,3.84,1.7,3.898
1.75,3.491,1.75,3.956,1.75,3.84,1.75,3.898,1.75,3.956
1.8,3.549,1.8,4.014,1.8,3.84,1.8,3.956,1.8,4.014
1.85,3.607,1.85,4.131,1.85,3.898,1.85,4.014,1.85,4.131
1.9,3.665,1.9,4.189,1.9,4.014,1.9,4.072,1.9,4.189
1.95,3.723,1.95,4.189,1.95,4.131,1.95,4.189,1.95,4.189
2,3.782,2,4.247,2,4.189,2,4.305,2,4.247
2.05,3.84,2.05,4.305,2.05,4.189,2.05,4.305,2.05,4.305
2.1,3.898,2.1,4.363,2.1,4.189,2.1,4.305,2.1,4.363
2.15,3.956,2.15,4.422,2.15,4.247,2.15,4.363,2.15,4.422
2.2,4.014,2.2,4.48,2.2,4.363,2.2,4.48,2.2,4.538
2.25,4.072,2.25,4.596,2.25,4.48,2.25,4.596,2.25,4.654
2.3,4.131,2.3,4.654,2.3,4.538,2.3,4.654,2.3,4.654
2.35,4.247,2.35,4.712,2.35,4.538,2.35,4.712,2.35,4.596
2.4,4.305,2.4,4.771,2.4,4.596,2.4,4.712,2.4,4.596
2.45,4.363,2.45,4.829,2.45,4.712,2.45,4.712,2.45,4.712
2.5,4.422,2.5,4.887,2.5,4.829,2.5,4.829,2.5,4.887
2.55,4.48,2.55,4.945,2.55,4.887,2.55,4.945,2.55,5.003
2.6,4.538,2.6,5.003,2.6,4.887,2.6,5.003,2.6,5.061
2.65,4.596,2.65,5.061,2.65,4.887,2.65,5.003,2.65,5.061
2.7,4.654,2.7,5.12,2.7,4.945,2.7,5.061,2.7,5.061
2.75,4.712,2.75,5.178,2.75,5.061,2.75,5.178,2.75,5.12
2.8,4.771,2.8,5.236,2.8,5.12,2.8,5.236,2.8,5.236
2.85,4.829,2.85,5.294,2.85,5.12,2.85,5.236,2.85,5.352
2.9,4.887,2.9,5.411,2.9,5.178,2.9,5.294,2.9,5.411
2.95,4.945,2.95,5.469,2.95,5.294,2.95,5.411,2.95,5.469
3,5.003,3,5.469,3,5.411,3,5.469,3,5.469
3.05,5.061,3.05,5.469,3.05,5.411,3.05,5.469,3.05,5.527
3.1,5.12,3.1,5.585,3.1,5.411,3.1,5.527,3.1,5.585
3.15,5.178,3.15,5.701,3.15,5.469,3.15,5.643,3.15,5.643
3.2,5.294,3.2,5.76,3.2,5.585,3.2,5.76,3.2,5.701
3.25,5.352,3.25,5.76,3.25,5.701,3.25,5.76,3.25,5.76
3.3,5.411,3.3,5.76,3.3,5.76,3.3,5.76,3.3,5.876
3.35,5.411,3.35,5.876,3.35,5.76,3.35,5.818,3.35,5.934
3.4,5.411,3.4,5.992,3.4,5.76,3.4,5.876,3.4,5.934
3.45,5.527,3.45,6.05,3.45,5.818,3.45,5.992,3.45,5.992
3.5,5.643,3.5,6.05,3.5,5.934,3.5,6.05,3.5,6.109
3.55,5.701,3.55,6.109,3.55,6.05,3.55,6.109,3.55,6.167
3.6,5.701,3.6,6.225,3.6,6.109,3.6,6.167,3.6,6.225
3.65,5.76,3.65,6.283,3.65,6.167,3.65,6.225,3.65,6.283
3.7,5.876,3.7,6.341,3.7,6.225,3.7,6.341,3.7,6.341
3.75,5.934,3.75,6.4,3.75,6.283,3.75,6.4,3.75,6.4
3.8,5.934,3.8,6.458,3.8,6.283,3.8,6.458,3.8,6.4
3.85,5.992,3.85,6.516,3.85,6.341,3.85,6.458,3.85,6.458
3.9,6.109,3.9,6.574,3.9,6.4,3.9,6.458,3.9,6.516
3.95,6.225,3.95,6.632,3.95,6.458,3.95,6.516,3.95,6.574
4,6.283,4,6.632,4,6.516,4,6.632,4,6.69
4.05,6.283,4.05,6.69,4.05,6.574,4.05,6.749,4.05,6.749
4.1,6.283,4.1,6.749,4.1,6.69,4.1,6.749,4.1,6.807
4.15,6.341,4.15,6.807,4.15,6.749,4.15,6.749,4.15,6.865
4.2,6.458,4.2,6.865,4.2,6.807,4.2,6.807,4.2,6.923
4.25,6.574,4.25,6.923,4.25,6.807,4.25,6.923,4.25,6.981
4.3,6.632,4.3,7.039,4.3,6.807,4.3,7.039,4.3,6.981
4.35,6.632,4.35,7.098,4.35,6.923,4.35,7.098,4.35,7.039
4.4,6.632,4.4,7.156,4.4,7.039,4.4,7.156,4.4,7.156
4.45,6.69,4.45,7.214,4.45,7.098,4.45,7.156,4.45,7.272
4.5,6.749,4.5,7.272,4.5,7.098,4.5,7.156,4.5,7.33
4.55,6.807,4.55,7.33,4.55,7.156,4.55,7.272,4.55,7.33
4.6,6.865,4.6,7.389,4.6,7.272,4.6,7.389,4.6,7.389
4.65,6.981,4.65,7.447,4.65,7.33,4.65,7.447,4.65,7.447
4.7,7.098,4.7,7.505,4.7,7.389,4.7,7.447,4.7,7.505
4.75,7.156,4.75,7.563,4.75,7.447,4.75,7.505,4.75,7.563
4.8,7.156,4.8,7.621,4.8,7.505,4.8,7.447,4.8,7.621
