Time (s) 20 long 1,Angular Velocity (rad/s) 20 long 1,Time (s) 20 long 2,Angular Velocity (rad/s) 20 long 2,Time (s) 20 long 3,Angular Velocity (rad/s) 20 long 3,Time (s) 20 long 4,Angular Velocity (rad/s) 20 long 4,Time (s) 20 long 5,Angular Velocity (rad/s) 20 long 5
0.05,1.396,0.05,1.745,0.05,2.094,0.05,1.92,0.05,1.745
0.1,1.454,0.1,1.745,0.1,2.211,0.1,2.036,0.1,1.745
0.15,1.571,0.15,1.804,0.15,2.269,0.15,2.094,0.15,1.804
0.2,1.629,0.2,1.862,0.2,2.327,0.2,2.153,0.2,1.862
0.25,1.629,0.25,1.92,0.25,2.385,0.25,2.211,0.25,1.92
0.3,1.629,0.3,1.978,0.3,2.443,0.3,2.269,0.3,1.978
0.35,1.745,0.35,1.978,0.35,2.443,0.35,2.269,0.35,2.036
0.4,1.862,0.4,1.978,0.4,2.443,0.4,2.269,0.4,2.094
0.45,1.862,0.45,2.036,0.45,2.443,0.45,2.327,0.45,2.094
0.5,1.862,0.5,2.153,0.5,2.502,0.5,2.385,0.5,2.094
0.55,1.92,0.55,2.211,0.55,2.618,0.55,2.443,0.55,2.153
0.6,1.978,0.6,2.211,0.6,2.676,0.6,2.502,0.6,2.211
0.65,1.978,0.65,2.211,0.65,2.676,0.65,2.56,0.65,2.269
0.7,1.978,0.7,2.269,0.7,2.676,0.7,2.618,0.7,2.327
0.75,2.094,0.75,2.327,0.75,2.734,0.75,2.618,0.75,2.327
0.8,2.211,0.8,2.385,0.8,2.851,0.8,2.618,0.8,2.385
0.85,2.211,0.85,2.443,0.85,2.909,0.85,2.676,0.85,2.443
0.9,2.211,0.9,2.443,0.9,2.967,0.9,2.734,0.9,2.502
0.95,2.269,0.95,2.502,0.95,2.967,0.95,2.793,0.95,2.502
1,2.327,1,2.56,1,2.967,1,2.851,1,2.502
1.05,2.327,1.05,2.618,1.05,3.025,1.05,2.909,1.05,2.618
1.1,2.327,1.1,2.676,1.1,3.083,1.1,2.909,1.1,2.676
1.15,2.443,1.15,2.676,1.15,3.142,1.15,2.909,1.15,2.676
1.2,2.56,1.2,2.676,1.2,3.142,1.2,2.967,1.2,2.676
1.25,2.56,1.25,2.734,1.25,3.2,1.25,3.083,1.25,2.793
1.3,2.56,1.3,2.851,1.3,3.258,1.3,3.142,1.3,2.909
1.35,2.618,1.35,2.909,1.35,3.316,1.35,3.142,1.35,2.909
1.4,2.676,1.4,2.909,1.4,3.374,1.4,3.142,1.4,2.909
1.45,2.676,1.45,2.909,1.45,3.374,1.45,3.2,1.45,2.909
1.5,2.676,1.5,2.967,1.5,3.374,1.5,3.258,1.5,2.967
1.55,2.793,1.55,3.025,1.55,3.374,1.55,3.316,1.55,3.025
1.6,2.909,1.6,3.083,1.6,3.491,1.6,3.374,1.6,3.083
1.65,2.909,1.65,3.142,1.65,3.607,1.65,3.374,1.65,3.142
1.7,2.909,1.7,3.142,1.7,3.665,1.7,3.374,1.7,3.2
1.75,2.967,1.75,3.142,1.75,3.665,1.75,3.432,1.75,3.258
1.8,3.025,1.8,3.2,1.8,3.665,1.8,3.549,1.8,3.258
1.85,3.025,1.85,3.316,1.85,3.723,1.85,3.607,1.85,3.258
1.9,3.025,1.9,3.374,1.9,3.782,1.9,3.607,1.9,3.316
1.95,3.142,1.95,3.374,1.95,3.84,1.95,3.607,1.95,3.432
2,3.258,2,3.374,2,3.84,2,3.665,2,3.491
2.05,3.258,2.05,3.432,2.05,3.898,2.05,3.723,2.05,3.491
2.1,3.258,2.1,3.491,2.1,3.956,2.1,3.782,2.1,3.491
2.15,3.258,2.15,3.549,2.15,4.014,2.15,3.84,2.15,3.549
2.2,3.316,2.2,3.607,2.2,4.014,2.2,3.84,2.2,3.607
2.25,3.374,2.25,3.665,2.25,4.014,2.25,3.898,2.25,3.665
2.3,3.432,2.3,3.665,2.3,4.072,2.3,3.956,2.3,3.665
2.35,3.491,2.35,3.665,2.35,4.131,2.35,4.014,2.35,3.665
2.4,3.491,2.4,3.723,2.4,4.247,2.4,4.072,2.4,3.723
2.45,3.549,2.45,3.782,2.45,4.305,2.45,4.131,2.45,3.782
2.5,3.607,2.5,3.898,2.5,4.305,2.5,4.189,2.5,3.898
